_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,imdb,imdb_worker_input,no_imdb,no_wikipedia,wikipedia,wikipedia_worker_input,birth_name,date_of_birth,date_of_death,first,gender,id,imdb_gold,last,middle,place_of_birth,place_of_death,url_to_imdb_main_name_page,url_to_official_celebrity_website,url_to_verified_twitter_account,url_to_wikipedia_entry,wikipedia_gold
84873990,6/23/07 22:33,TRUE,148772385,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0000557/,http://www.imdb.com/name/nm0000557/,FALSE,FALSE,http://en.wikipedia.org/wiki/Brigitte_Nielsen/,http://en.wikipedia.org/wiki/Brigitte_Nielsen,,Jul 15 1963 12:00AM,,Brigitte,F,82827,http://imdb.com/name/nm0000557/,Nielsen,,"RÌüdovre, Denmark",,,,,,http://en.wikipedia.org/wiki/Brigitte_Nielsen/
84874024,6/23/07 22:33,TRUE,148772387,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0000006/,http://www.imdb.com/name/nm0000006/,FALSE,FALSE,http://en.wikipedia.org/wiki/Ingrid_Bergman/,http://en.wikipedia.org/wiki/Ingrid_Bergman,,Aug 29 1915 12:00AM,Aug 29 1982 12:00AM,Ingrid,F,142,http://imdb.com/name/nm0000006/,Bergman,,"Stockholm, Sweden",,,,,,http://en.wikipedia.org/wiki/Ingrid_Bergman/
84874574,6/23/07 22:33,FALSE,148772390,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0852076/,http://www.imdb.com/name/nm0852076/,FALSE,FALSE,http://en.wikipedia.org/wiki/Buck_Taylor/,http://en.wikipedia.org/wiki/Buck_Taylor,,May 13 1938 12:00AM,,Buck,M,9784,,Taylor,,"Hollywood, California",,,,,,
84874025,6/23/07 22:33,FALSE,148772392,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0002054/,http://www.imdb.com/name/nm0002054/,FALSE,FALSE,http://en.wikipedia.org/wiki/Sheena_Easton/,http://en.wikipedia.org/wiki/Sheena_Easton,,Apr 27 1959 12:00AM,,Sheena,F,485,http://imdb.com/name/nm0002054/,Easton,,"Bellshill, Scotland",,,,,,http://en.wikipedia.org/wiki/Sheena_Easton/
84875035,6/23/07 22:33,FALSE,148772394,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0027572/,http://www.imdb.com/name/nm0027572/,FALSE,FALSE,http://en.wikipedia.org/wiki/Wes_Anderson/,http://en.wikipedia.org/wiki/Wes_Anderson,,May  1 1969 12:00AM,,Wes,M,162494,,Anderson,,"Houston, Texas",,,,,,
84874004,6/23/07 22:33,TRUE,148772395,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0235638/,http://www.imdb.com/name/nm0235638/,FALSE,FALSE,http://en.wikipedia.org/wiki/Tony_Dow/,http://en.wikipedia.org/wiki/Tony_Dow,,Apr 13 1945 12:00AM,,Tony,M,157532,http://imdb.com/name/nm0235638/,Dow,,"Hollywood, California",,,,,,http://en.wikipedia.org/wiki/Tony_Dow/
84873963,6/23/07 22:33,TRUE,148772397,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0002091/,http://www.imdb.com/name/nm0002091/,FALSE,FALSE,http://en.wikipedia.org/wiki/Michael_Gambon/,http://en.wikipedia.org/wiki/Michael_Gambon,,Oct 19 1940 12:00AM,,Michael,M,71763,http://imdb.com/name/nm0002091/,Gambon,,"Dublin, Ireland",,,,,,http://en.wikipedia.org/wiki/Michael_Gambon/
84873985,6/23/07 22:33,TRUE,148772398,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0726939/,http://www.imdb.com/name/nm0726939/,FALSE,FALSE,http://en.wikipedia.org/wiki/Robin_Riker/,http://en.wikipedia.org/wiki/Robin_Riker,,Oct  2 1952 12:00AM,,Robin,F,55853,http://imdb.com/name/nm0726939/,Riker,,"New York, New York",,,,,,http://en.wikipedia.org/wiki/Robin_Riker/
84874008,6/23/07 22:34,TRUE,148772871,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0268199/,http://www.imdb.com/name/nm0268199/,FALSE,FALSE,http://en.wikipedia.org/wiki/Colin_Farrell/,http://en.wikipedia.org/wiki/Colin_Farrell,,May 31 1976 12:00AM,,Colin,M,199695,http://imdb.com/name/nm0268199/,Farrell,,"Castleknock, Dublin, Ireland",,,,,,http://en.wikipedia.org/wiki/Colin_Farrell/
84874559,6/23/07 22:34,FALSE,148772872,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0539155/,http://www.imdb.com/name/nm0539155/,FALSE,FALSE,http://en.wikipedia.org/wiki/Paula_Malcomson/,http://en.wikipedia.org/wiki/Paula_Malcomson,,,,Paula,F,185917,,Malcomson,,"Belfast, Northern Ireland",,,,,,
84873966,6/23/07 22:34,TRUE,148772874,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0489436/,http://www.imdb.com/name/nm0489436/,FALSE,FALSE,http://en.wikipedia.org/wiki/Robert_LaSardo/,http://en.wikipedia.org/wiki/Robert_LaSardo,,Sep 20 1963 12:00AM,,Robert,M,71729,http://imdb.com/name/nm0489436/,LaSardo,,"Brooklyn, New York",,,,,,http://en.wikipedia.org/wiki/Robert_LaSardo/
84875594,6/23/07 22:34,FALSE,148772876,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0000367/,http://www.imdb.com/name/nm0000367/,FALSE,FALSE,http://en.wikipedia.org/wiki/G%C3%A9rard_Depardieu/,http://en.wikipedia.org/wiki/G%C3%A9rard_Depardieu,,Dec 27 1948 12:00AM,,G?rard,M,168539,,Depardieu,,"ChÌ¢teauroux, Indre, France",,,,,,
84874023,6/23/07 22:34,TRUE,148772878,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0005241/,http://www.imdb.com/name/nm0005241/,FALSE,FALSE,http://en.wikipedia.org/wiki/Ralf_Moeller/,http://en.wikipedia.org/wiki/Ralf_Moeller,,Jan 12 1959 12:00AM,,Ralf,M,80255,http://imdb.com/name/nm0005241/,Moeller,,"Recklinghausen, Northrhine-Westphalia, Germany",,,,,,http://en.wikipedia.org/wiki/Ralf_Moeller/
84874012,6/23/07 22:34,TRUE,148772880,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0298221/,http://www.imdb.com/name/nm0298221/,FALSE,FALSE,http://en.wikipedia.org/wiki/Drew_Fuller/,http://en.wikipedia.org/wiki/Drew_Fuller,,May 19 1980 12:00AM,,Drew,M,285186,http://imdb.com/name/nm0298221/,Fuller,,"Los Angeles, California",,,,,,http://en.wikipedia.org/wiki/Drew_Fuller/
84875254,6/23/07 22:34,FALSE,148772882,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0783139/,http://www.imdb.com/name/nm0783139/,FALSE,FALSE,http://en.wikipedia.org/wiki/Henry_Selick/,http://en.wikipedia.org/wiki/Henry_Selick,,Nov 30 1952 12:00AM,,Henry,M,151388,,Selick,,"Glen Ridge, New Jersey",,,,,,
84873994,6/23/07 22:34,TRUE,148772884,,6/23/07 22:23,FALSE,trial_pay,1,2597998,CAN,ON,Barrie,99.238.217.211,http://imdb.com/name/nm0000603/,http://www.imdb.com/name/nm0000603/,FALSE,FALSE,http://en.wikipedia.org/wiki/Vanessa_Redgrave/,http://en.wikipedia.org/wiki/Vanessa_Redgrave,,Jan 30 1937 12:00AM,,Vanessa,F,64282,http://imdb.com/name/nm0000603/,Redgrave,,"London, England",,,,,,http://en.wikipedia.org/wiki/Vanessa_Redgrave/
